prod_id,merchant_id,stock
1,1,403
1,2,274
1,3,174
1,4,212
1,5,192
1,6,473
1,7,49
1,8,435
1,9,322
1,10,222
2,1,338
2,2,195
2,3,358
2,4,71
2,5,336
2,6,205
2,7,291
2,8,265
2,9,25
2,10,443
3,1,432
3,2,452
3,3,31
3,4,0
3,5,405
3,6,385
3,7,301
3,8,45
3,9,237
3,10,358
4,1,231
4,2,54
4,3,432
4,4,416
4,5,463
4,6,406
4,7,464
4,8,385
4,9,199
4,10,18
5,1,450
5,2,492
5,3,179
5,4,242
5,5,48
5,6,488
5,7,479
5,8,346
5,9,35
5,10,333
6,1,349
6,2,290
6,3,423
6,4,264
6,5,61
6,6,172
6,7,81
6,8,435
6,9,29
6,10,316
7,1,415
7,2,274
7,3,455
7,4,4
7,5,182
7,6,221
7,7,67
7,8,233
7,9,125
7,10,450
8,1,482
8,2,478
8,3,250
8,4,394
8,5,296
8,6,138
8,7,136
8,8,30
8,9,365
8,10,495
9,1,33
9,2,301
9,3,1
9,4,439
9,5,348
9,6,105
9,7,34
9,8,397
9,9,122
9,10,192
10,1,295
10,2,384
10,3,369
10,4,481
10,5,448
10,6,126
10,7,318
10,8,106
10,9,474
10,10,416